Frequency,Distance,a_m,b_m,Walls,PL
26.5,6.59,6.3,1.94,2,112.1982
26.5,11.76,11.6,1.93,2,115.7627
26.5,9.04,8.9,1.6,3,122.5733
26.5,4.25,3.6,2.25,1,104.3808
26.5,3.5,2.7,2.22,1,100.7860
26.5,4,4,0.01,1,81.9267
26.5,4.83,4.35,2.1,1,91.5933
26.5,5.78,5.3,2.3,3,116.5800
26.5,11.57,2,11.4,3,113.2005
26.5,3.99,3.58,1.76,1,89.4339
26.5,5.21,4.27,2.98,1,102.9775
26.5,8.43,7.55,3.74,3,120.1363
26.5,8.43,7.55,3.74,3,125.2542
26.5,6.71,5.87,3.25,2,102.9924
26.5,10.46,10.3,1.8,2,93.5282
26.5,12.48,12.3,2.09,3,131.6461
26.5,9.68,9.3,2.69,2,114.0564
26.5,2.57,0,2.57,1,95.1069
26.5,7.36,6.9,2.57,2,112.1752
26.5,5.95,5.3,2.7,1,105.7301
26.5,5.14,4.5,2.48,2,108.3002
26.5,3.8,2.68,2.7,2,96.7682
26.5,11.03,10.8,2.25,2,120.0855
26.5,4.83,4.35,2.1,1,91.9898
26.5,4.42,3.5,2.7,1,92.2679
26.5,4.37,4.14,1.4,1,83.2539
26.5,7.02,6.17,3.35,2,103.2138
26.5,7.91,7.5,2.5,3,119.8725
26.5,5.37,4.89,2.21,3,115.7939
26.5,7.69,7.55,1.45,1,110.1990
26.5,3.35,2.17,2.55,1,100.9895
26.5,9.98,9.9,1.28,3,113.5061
26.5,3.91,3.3,2.1,1,93.3649
26.5,4.37,4.14,1.4,2,117.0176
26.5,6.39,4.01,4.97,1,101.6960
26.5,10.31,10.05,2.31,2,118.1767
26.5,6.93,6.6,2.1,3,126.8019
26.5,12.5,12.5,0,3,122.3467
26.5,4,4,0.01,1,78.6567
26.5,8.9,8.9,0,3,118.6767
27,6.59,6.3,1.94,2,114.5160606
27,11.76,11.6,1.93,2,124.2514583
27,9.04,8.9,1.6,3,119.81
27,4.25,3.6,2.25,1,105.0861458
27,3.5,2.7,2.22,1,100.6949123
27,4,4,0.01,1,81.12666667
27,4.83,4.35,2.1,1,94.12
27,5.78,5.3,2.3,3,124.96
27,11.57,2,11.4,3,104.1026667
27,3.99,3.58,1.76,1,87.61583333
27,5.21,4.27,2.98,1,106.7725641
27,8.43,7.55,3.74,3,128.4378788
27,8.43,7.55,3.74,3,126.2215152
27,6.71,5.87,3.25,2,109.8162745
27,10.46,10.3,1.8,2,95.70076923
27,12.48,12.3,2.09,3,131.4533333
27,9.68,9.3,2.69,2,113.6080392
27,2.57,0,2.57,1,92.1554955
27,7.36,6.9,2.57,2,112.129697
27,5.95,5.3,2.7,1,96.51019048
27,5.14,4.5,2.48,2,112.8117204
27,3.8,2.68,2.7,2,95.39489583
27,11.03,10.8,2.25,2,117.5618627
27,4.83,4.35,2.1,1,92.79864583
27,4.42,3.5,2.7,1,93.27225225
27,4.37,4.14,1.4,1,83.33539216
27,7.02,6.17,3.35,2,104.7971569
27,7.91,7.5,2.5,3,126.1879675
27,5.37,4.89,2.21,3,121.2364583
27,7.69,7.55,1.45,1,93.38428571
27,3.35,2.17,2.55,1,101.3773958
27,9.98,9.9,1.28,3,110.7955208
27,3.91,3.3,2.1,1,92.54927083
27,4.37,4.14,1.4,2,116.9245455
27,6.39,4.01,4.97,1,99.506
27,10.31,10.05,2.31,2,128.4206061
27,6.93,6.6,2.1,3,130.7262745
27,12.5,12.5,0,3,121.2933333
27,4,4,0.01,1,79.61666667
27,8.9,8.9,0,3,127.6233333
27.5,6.59,6.3,1.94,2,124.6102778
27.5,11.76,11.6,1.93,2,122.3192708
27.5,9.04,8.9,1.6,3,130.4533333
27.5,4.25,3.6,2.25,1,104.5339394
27.5,3.5,2.7,2.22,1,103.5888172
27.5,4,4,0.01,1,83.67333333
27.5,4.83,4.35,2.1,1,98.39333333
27.5,5.78,5.3,2.3,3,125.52
27.5,11.57,2,11.4,3,113.1270833
27.5,3.99,3.58,1.76,1,97.26833333
27.5,5.21,4.27,2.98,1,108.9024762
27.5,8.43,7.55,3.74,3,123.829
